district,state,censuscode,centroid_lat,centroid_lon
Raigarh,Maharashtra,520,18.51719,73.21484
Raipur,Chhattisgarh,410,21.07129,82.17396
Raisen,Madhya Pradesh,446,23.21707,78.11837
Rajouri,Jammu & Kashmir,6,33.31017,74.39878
Rajgarh,Madhya Pradesh,442,23.86118,76.73464
Rajkot,Gujarat,476,22.26274,70.77504
Rajnandgaon,Chhattisgarh,408,21.03941,80.81927
Rajsamand,Rajasthan,123,25.21633,73.8923
Ramanagara,Karnataka,584,12.67855,77.3365
Ramanathapuram,Tamil Nadu,626,9.44013,78.67328
Ramban,Jammu & Kashmir,17,33.32301,75.1861
Ramgarh,Jharkhand,361,23.63073,85.56057
Rampur,Uttar Pradesh,136,28.79548,79.10547
Ranchi,Jharkhand,364,23.33131,85.37076
Rangareddy,Andhra Pradesh,537,17.28804,78.17739
Ratlam,Madhya Pradesh,434,23.501,75.09009
Ratnagiri,Maharashtra,528,17.27373,73.45683
Rayagada,Odisha,396,19.36228,83.51384
Reasi,Jammu & Kashmir,20,33.20741,74.8223
Rewa,Madhya Pradesh,430,24.75516,81.58962
Rewari,Haryana,85,28.23576,76.54334
Ri Bhoi,Meghalaya,297,25.87044,91.89102
Rohtak,Haryana,82,28.91454,76.52918
Rohtas,Bihar,234,24.97941,84.02774
Rudraprayag,Uttarakhand,58,30.5303,79.0589
Rupnagar,Punjab,51,31.05937,76.48642
Sabar Kantha,Gujarat,472,23.65935,73.16369
Sagar,Madhya Pradesh,427,23.84803,78.75887
Saharanpur,Uttar Pradesh,132,29.94958,77.54769
Saharsa,Bihar,214,25.81659,86.5898
Sahibganj,Jharkhand,352,25.00806,87.67956
Sahibzada Ajit Singh Nagar,Punjab,52,30.68091,76.73776
Saiha,Mizoram,288,22.3767,93.01217
Salem,Tamil Nadu,608,11.67406,78.22215
Samastipur,Bihar,221,25.77697,85.90365
Samba,Jammu & Kashmir,22,32.57523,75.10929
Sambalpur,Odisha,372,21.45191,84.28093
Sangli,Maharashtra,531,17.11202,74.7699
Sangrur,Punjab,53,30.21352,75.86862
Sant Kabir Nagar,Uttar Pradesh,186,26.79016,83.03481
Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,198,25.34807,82.46423
Saraikela-kharsawan,Jharkhand,369,22.84493,85.95156
Saran (chhapra),Bihar,219,25.90466,84.82531
Satara,Maharashtra,527,17.66859,74.17379
Satna,Madhya Pradesh,429,24.53272,80.83334
Sehore,Madhya Pradesh,445,22.99119,77.12858
Senapati,Manipur,272,25.19651,94.04015
Seoni,Madhya Pradesh,456,22.31565,79.69024
Serchhip,Mizoram,285,23.26596,92.95921
Shahdol,Madhya Pradesh,460,23.629,81.47277
Shahid Bhagat Singh Nagar,Punjab,39,31.10913,76.15596
Shahjahanpur,Uttar Pradesh,152,27.97574,79.84493
Shajapur,Madhya Pradesh,436,23.57968,76.34568
Sheikhpura,Bihar,228,25.13194,85.82892
Sheohar,Bihar,205,26.52704,85.28993
Sheopur,Madhya Pradesh,418,25.75247,77.01043
Shimla,Himachal Pradesh,33,31.19704,77.63239
Shimoga,Karnataka,568,14.04355,75.22065
Shivpuri,Madhya Pradesh,423,25.36267,77.81251
Shrawasti,Uttar Pradesh,181,27.6547,81.88397
Shupiyan,Jammu & Kashmir,13,33.73067,74.81869
Sivasagar,Assam,311,27.00725,94.81999
Siddharth Nagar,Uttar Pradesh,184,27.27405,82.87344
Sidhi,Madhya Pradesh,462,24.21978,81.83528
Sikar,Rajasthan,111,27.6366,75.28754
Simdega,Jharkhand,367,22.58007,84.56637
Sindhudurg,Maharashtra,529,16.13432,73.73988
Singrauli,Madhya Pradesh,463,24.21667,82.42073
Sirmaur,Himachal Pradesh,32,30.66756,77.43096
Sirohi,Rajasthan,117,24.75891,72.77431
Sirsa,Haryana,79,29.61479,74.90147
Sitamarhi,Bihar,206,26.576,85.53969
